nothing,bug,vcl
,Changing Device Name in Settings Doesn't Change Device Name (Android),
,Syncthing failing to find other nodes,
,"""Ignore Patterns"" button disabled",
,"Folder state ""Local Additions"" overrides ""Syncing""",
,"Under linux, unable to share folders that are mounted on the root filesystem",
,Mismatch of border radius size in folder and device buttons,
,Inconsistent behavior of path generation local vs remote,
,Syncthnig unable to sync files with Hebrew letters.,
,Consider XXH3 hashing function as experimental feature,
,Tens of thousands of DNS queries per day from a single instance,
,discosrv is not reproductible,
,Allow symlinks for https-cert.pem and https-key.pem,
,"Device ID should be read-only and ""nearby devices"" should be hidden when adding a new pending device",
,discourse.syncthing.net is innaccesible via IPv6,
,Replacing a directory with a symlink or vice versa is buggy,
,"""always accept"" configuration",
,Folders with Windows short names appearing,
,shared folder checkbox not checkable,
,Unable to update Web,
,Syncthing running another process,
,Potential for Excessive DNS requests,
,[regression] Massive memory leak on x64 with v.0.9.2,
,Auto-update leaves around too many .old files,
,Joining relay session (BEP/relay): Incorrect response code 1: not found,
,gui: Use favicon as an indicator of Syncthing status,
,ignorePerms to enable by default of not on shared folders,
,lib/logger: tests fail due to compilation error with go 1.11,
,GUI label discrepencies for rate limit units,
,Local connections do not work,
,Inconsistent node ID format and lack of whitespace handling,
,Incorrect handling of vector clocks in 3-way sync,
,Sync aborts,
,Handle incorrect version hello message / magic,
,panic: runtime error: slice bounds out of range [24:3],
,"The error message ""given name ... differs from filesystem name ..."" does not help users to resolve the issue",
,user systemd file is broken,
,Can't set trash can versioning,
,panic: leveldb/table: corruption on data-block,
,"Option to add multiple ""Windows"" folder to one folder of ""Syncthing""",
,Constant up- and download although nothing is synced,
,[relaying] Tries relay connection when already connected via relay,
,Select language in settings,
,Connection Error on Listing More Locally Changed Files,
,[Relaying] Address/port error,
,Local state should match global when in sync,
,lib/fs: Disable symlink support on Android internal storage,
,pull order: newest first doesn't seem to work,
,Syncthing for backup,
,Improve UDP hole punching,
,Allow user to start Global Annouce server,
,Implement uptime,
,Can't set ignore patterns when adding a folder,
,"Sync stalls, and nonmatching Global States",
,.syncthing.FILENAME files,
,"At start, browser page loading stalls, conn to 8384 is SYN_SENT forever",
,The Docker hub documentation points to a non-existing README-docker.md file,
,"""INFO: No UPnP IGD device found, no port mapping created"" is scary",
,Gets confused about removed files (inotify),
,Initial adding of node gives confusing repository state,
,IPv6 Multicast Address,
,Multicore repo scanning,
,Syncthing Android UI crashes on launch on Source method getMenu in Source class android.support.v7.widget.ActionMenuView,
,"New folder is created unpaused when ""Pause all"" was selected",
,"Don't count directories as files in the web interface (Was: ""Inconsistent file number."")",
,Init routine of ~/Sync cannot handle folder already exist,
,Compile error,
,Panic repeatedly on version 0.11.1,
,how to set the file mask,
,Introducers should be able to remove devices as well as add them,
,Folder Master out of sync when others keep files or add extras,
,Seagate central  kernel: internal error: Oops: 17,
,Connection unsuccessfull from mobile hosts,
,Show full timestamp instead of time,
,TestPullInvalidIgnoredSO / TestPullInvalidIgnoredSR Failures on OpenBSD,
,List of files added,
,"""Folder path missing"" when folder path is a junction",
,When will iOS version realease?,
,"Shutdown takes too long, triggering fmut deadlock panic",
,Ignore patterns with wildcard and non-ASCII characters don't work as expected,
,"Error on folder tmp: folder marker missing (this indicates potential data loss, search docs/forum to get information about how to proceed)",
,"Missing slash between folder path and file path in ""failed items"" dialog",
,Bug: removing several folders without restart,
,Tests fail on Go 1.11 / Windows,
,[doc] list the ports to be opened in the firewall (22000),
,First start fails - No Node ID (key) no interface on android 4.4.,
,LDAP auth fails with hardcoded bindDN,
,godep restore fails,
,Temp file reuse doesn't happen,
,bug: cli subcommand is stuck on non-interactive shell,
,Panic: sequence index corruption,
,syncthing.service failed result 'exit-code',
,Syncing to Windows doesn't work for big files,
,Creating a new folder on C:\ fails (Windows 7),
,Can't scroll to bottom of Anonymous Usage Reporting Preview / access close button,
,some nodes can see each other on local network,
,Ignored files are still considered needed,
,Selective download,
,Schedule Pause,
,[ ] (space) character at the end of folder name generates an error,
,Rate limiting is broken on ARM64,
,Crosscompiling fails : fork/exec exec format error,
,Syncthing refuses some connections after resume from sleep,
,"Not possible to create Folder ID ""watch""",
,Feature Request: Integrated Remote Mgmt of Connected Nodes,
,Consider using reliable UDP for block transfers,
,sync mechanism of syncthing as a library or service,
,"Feature Request: ""rolling"" synchronisation limits",
,panic: bug: Notify backend is processing a change outside of the filesystem root,
,Limit CPU usage or scanning rate for scanning activity,
,Improve filesystem detection,
,Syncthing upgrade can end up with no config.xml when there is not enough space on device,
,v1.7.1 release note fetchable at same location as previous releases,
,Syncthing downloaded only half of files in a folder and claims it's up to date,
,panic: runtime error: invalid memory address or nil pointer dereference,
,Reverse send only (accept only) sync option,
,Global discovery doesn't work when upnp is disabled,
,Syncthing crashes immediately,
,Refactoring of the Web UI wanted?,
,"Panic Log : ""panic: leveldb: not found""",
,suggestion: remove standard webkit focus,
,.stignore - Document how to handle spaces in path elements,
,테스트a,
,Staggered versioner fails to keep files that have no extension,
,Out-of-sync state of zero-byte files is not reflected on peers,
,Error in walk truncates local repo model,
,Moving treated as deletion,
,GUI: ignore patterns path is one row too low,
,Consider using interval tree clocks instead of plain version integers,
,Build strelaypoolsrv,
,Unable to sync a case-different file if already exists in the folder prior to syncing,
,Option to change language,
,POST to /rest/config has no return value,
,"Could it support ""Selective Sync"",such as NAS?",
,Doesn't run out of the box on macOS Catalina,
,Clients cant connect to each other,
,"In Recent Changes, the Device column is empty",
,relaysrv: panic: send on closed channel,
,Better describe exposed volumes in our Docker image,
,Unix build status links to a 404,
,Web interface looks like crap on a mobile device,
